Text,Label
Introduce knot in the textile fabric.,knot
Simulate knot on this textile image.,knot
"This is the picture of fabric, create knot in this picture.",knot
Introduce knot in the textile fabric.,knot
Generate synthetic defects of knot on this image.,knot
Create knot in the given picture.,knot
Simulate knot on this textile image.,knot
Add knot imperfections to this textile.,knot
Generate synthetic defects of knot on this image.,knot
Create knot in the given picture.,knot
Simulate knot on this textile image.,knot
Modify this fabric to include knot.,knot
Introduce knot in the textile fabric.,knot
Simulate knot on this textile image.,knot
Introduce knot in the textile fabric.,knot
Make this picture knot defected.,knot
Simulate knot on this textile image.,knot
Make this picture knot defected.,knot
Add knot imperfections to this textile.,knot
Make this picture knot defected.,knot
Generate synthetic defects of knot on this image.,knot
Modify this fabric to include knot.,knot
Create a dataset sample with knot in this image.,knot
Introduce knot in the textile fabric.,knot
"This is the picture of fabric, create knot in this picture.",knot
Simulate knot on this textile image.,knot
"This is the picture of fabric, create knot in this picture.",knot
Generate synthetic defects of knot on this image.,knot
Apply knot effect to the fabric image.,knot
Make this picture knot defected.,knot
Generate synthetic defects of knot on this image.,knot
Make this picture knot defected.,knot
Introduce knot in the textile fabric.,knot
Generate synthetic defects of knot on this image.,knot
Apply knot effect to the fabric image.,knot
Create knot in the given picture.,knot
Modify this fabric to include knot.,knot
"This is the picture of fabric, create knot in this picture.",knot
Add knot imperfections to this textile.,knot
Introduce knot in the textile fabric.,knot
Simulate knot on this textile image.,knot
Generate synthetic defects of knot on this image.,knot
Generate synthetic defects of knot on this image.,knot
Generate synthetic defects of knot on this image.,knot
Create a dataset sample with knot in this image.,knot
Create a dataset sample with knot in this image.,knot
Create knot in the given picture.,knot
Simulate knot on this textile image.,knot
Modify this fabric to include knot.,knot
Make this picture knot defected.,knot
Create knot in the given picture.,knot
Simulate knot on this textile image.,knot
Introduce knot in the textile fabric.,knot
Add knot imperfections to this textile.,knot
Modify this fabric to include knot.,knot
"This is the picture of fabric, create knot in this picture.",knot
Apply knot effect to the fabric image.,knot
Add knot imperfections to this textile.,knot
Make this picture knot defected.,knot
Create knot in the given picture.,knot
Simulate knot on this textile image.,knot
Create a dataset sample with knot in this image.,knot
Simulate knot on this textile image.,knot
Simulate knot on this textile image.,knot
Apply knot effect to the fabric image.,knot
Generate synthetic defects of knot on this image.,knot
Make this picture knot defected.,knot
Create knot in the given picture.,knot
Simulate knot on this textile image.,knot
Make this picture knot defected.,knot
Make this picture knot defected.,knot
Modify this fabric to include knot.,knot
Introduce knot in the textile fabric.,knot
Generate synthetic defects of knot on this image.,knot
Introduce knot in the textile fabric.,knot
Generate synthetic defects of knot on this image.,knot
Create a dataset sample with knot in this image.,knot
Create knot in the given picture.,knot
Simulate knot on this textile image.,knot
Make this picture knot defected.,knot
Simulate knot on this textile image.,knot
Simulate knot on this textile image.,knot
Add knot imperfections to this textile.,knot
Create knot in the given picture.,knot
Simulate knot on this textile image.,knot
Generate synthetic defects of knot on this image.,knot
Create knot in the given picture.,knot
Make this picture knot defected.,knot
Make this picture knot defected.,knot
Create a dataset sample with knot in this image.,knot
Generate synthetic defects of knot on this image.,knot
Simulate holes and thread_error on this textile image.,holes and thread_error
Add holes and thread_error imperfections to this textile.,holes and thread_error
"This is the picture of fabric, create holes and thread_error in this picture.",holes and thread_error
Generate synthetic defects of holes and thread_error on this image.,holes and thread_error
Modify this fabric to include holes and thread_error.,holes and thread_error
Apply holes and thread_error effect to the fabric image.,holes and thread_error
Generate synthetic defects of holes and thread_error on this image.,holes and thread_error
Modify this fabric to include holes and thread_error.,holes and thread_error
Make this picture holes and thread_error defected.,holes and thread_error
Modify this fabric to include holes and thread_error.,holes and thread_error
Create a dataset sample with holes and thread_error in this image.,holes and thread_error
Apply holes and thread_error effect to the fabric image.,holes and thread_error
Introduce holes and thread_error in the textile fabric.,holes and thread_error
Create holes and thread_error in the given picture.,holes and thread_error
Generate synthetic defects of holes and thread_error on this image.,holes and thread_error
Make this picture holes and thread_error defected.,holes and thread_error
Introduce holes and thread_error in the textile fabric.,holes and thread_error
Make this picture holes and thread_error defected.,holes and thread_error
Create a dataset sample with holes and thread_error in this image.,holes and thread_error
Add holes and thread_error imperfections to this textile.,holes and thread_error
Generate synthetic defects of holes and stain on this image.,holes and stain
Apply holes and stain effect to the fabric image.,holes and stain
Add holes and stain imperfections to this textile.,holes and stain
Add holes and stain imperfections to this textile.,holes and stain
Create a dataset sample with holes and stain in this image.,holes and stain
Generate synthetic defects of holes and stain on this image.,holes and stain
Create a dataset sample with holes and stain in this image.,holes and stain
"This is the picture of fabric, create holes and stain in this picture.",holes and stain
Generate synthetic defects of holes and stain on this image.,holes and stain
Simulate holes and stain on this textile image.,holes and stain
Make this picture holes and stain defected.,holes and stain
Simulate holes and stain on this textile image.,holes and stain
Add holes and stain imperfections to this textile.,holes and stain
Generate synthetic defects of holes and stain on this image.,holes and stain
Modify this fabric to include holes and stain.,holes and stain
Make this picture holes and stain defected.,holes and stain
Create holes and stain in the given picture.,holes and stain
Modify this fabric to include holes and stain.,holes and stain
Introduce holes and stain in the textile fabric.,holes and stain
Create a dataset sample with holes and stain in this image.,holes and stain
Introduce stain and knot in the textile fabric.,stain and knot
Make this picture stain and knot defected.,stain and knot
Simulate stain and knot on this textile image.,stain and knot
"This is the picture of fabric, create stain and knot in this picture.",stain and knot
Simulate stain and knot on this textile image.,stain and knot
Create stain and knot in the given picture.,stain and knot
Create stain and knot in the given picture.,stain and knot
Make this picture stain and knot defected.,stain and knot
Modify this fabric to include stain and knot.,stain and knot
Simulate stain and knot on this textile image.,stain and knot
Create a dataset sample with stain and knot in this image.,stain and knot
Introduce stain and knot in the textile fabric.,stain and knot
Make this picture stain and knot defected.,stain and knot
Add stain and knot imperfections to this textile.,stain and knot
"This is the picture of fabric, create stain and knot in this picture.",stain and knot
Add stain and knot imperfections to this textile.,stain and knot
Create stain and knot in the given picture.,stain and knot
Generate synthetic defects of stain and knot on this image.,stain and knot
Introduce stain and knot in the textile fabric.,stain and knot
Add stain and knot imperfections to this textile.,stain and knot
Create thread_error and knot in the given picture.,thread_error and knot
Make this picture thread_error and knot defected.,thread_error and knot
Create thread_error and knot in the given picture.,thread_error and knot
Add thread_error and knot imperfections to this textile.,thread_error and knot
Simulate thread_error and knot on this textile image.,thread_error and knot
Modify this fabric to include thread_error and knot.,thread_error and knot
Add thread_error and knot imperfections to this textile.,thread_error and knot
Simulate thread_error and knot on this textile image.,thread_error and knot
Make this picture thread_error and knot defected.,thread_error and knot
"This is the picture of fabric, create thread_error and knot in this picture.",thread_error and knot
Introduce thread_error and knot in the textile fabric.,thread_error and knot
Introduce thread_error and knot in the textile fabric.,thread_error and knot
Introduce thread_error and knot in the textile fabric.,thread_error and knot
Modify this fabric to include thread_error and knot.,thread_error and knot
Create thread_error and knot in the given picture.,thread_error and knot
Create a dataset sample with thread_error and knot in this image.,thread_error and knot
Generate synthetic defects of thread_error and knot on this image.,thread_error and knot
Introduce thread_error and knot in the textile fabric.,thread_error and knot
Introduce thread_error and knot in the textile fabric.,thread_error and knot
Create a dataset sample with thread_error and knot in this image.,thread_error and knot
